stoptime,bikeid,tripduration,from_station_name,to_station_name,from_station_id,to_station_id,usertype,gender,birthyear
10/13/2014 14:18,SEA00348,346.802,1st Ave & Marion St,Occidental Park / Occidental Ave S & S Washington St,CBD-05,PS-04,Member,Male,1974
10/13/2014 14:18,SEA00436,350.192,1st Ave & Marion St,Occidental Park / Occidental Ave S & S Washington St,CBD-05,PS-04,Member,Female,1987
10/13/2014 14:39,SEA00388,1580.701,REI / Yale Ave N & John St,1st Ave & Marion St,SLU-01,CBD-05,Short-Term Pass Holder,,
10/13/2014 14:39,SEA00419,1548.516,REI / Yale Ave N & John St,1st Ave & Marion St,SLU-01,CBD-05,Short-Term Pass Holder,,
10/13/2014 14:16,SEA00026,146.367,E Harrison St & Broadway Ave E,E Harrison St & Broadway Ave E,CH-02,CH-02,Short-Term Pass Holder,,
10/13/2014 14:39,SEA00050,1435.746,6th Ave S & S King St,Pier 69 / Alaskan Way & Clay St,ID-04,WF-01,Short-Term Pass Holder,,
10/13/2014 14:39,SEA00445,1421.293,6th Ave S & S King St,Pier 69 / Alaskan Way & Clay St,ID-04,WF-01,Short-Term Pass Holder,,
10/13/2014 15:08,SEA00435,3151.168,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,Pier 69 / Alaskan Way & Clay St,WF-04,WF-01,Short-Term Pass Holder,,
10/13/2014 14:38,SEA00420,1318.681,Cal Anderson Park / 11th Ave & Pine St,15th Ave NE & NE 40th St,CH-08,UW-04,Member,Female,1946
10/13/2014 14:38,SEA00190,1293.239,Cal Anderson Park / 11th Ave & Pine St,15th Ave NE & NE 40th St,CH-08,UW-04,Member,Female,1949
10/13/2014 14:20,SEA00335,228.691,12th Ave & E Mercer St,E Harrison St & Broadway Ave E,CH-15,CH-02,Member,Male,1975
10/13/2014 14:24,SEA00407,403.445,12th Ave & NE Campus Pkwy,NE 42nd St & University Way NE,UD-04,UD-02,Short-Term Pass Holder,,
10/13/2014 14:38,SEA00077,1246.316,E Harrison St & Broadway Ave E,NE 47th St & 12th Ave NE,CH-02,UD-07,Member,Male,1990
10/13/2014 14:26,SEA00039,481.343,E Harrison St & Broadway Ave E,E Harrison St & Broadway Ave E,CH-02,CH-02,Short-Term Pass Holder,,
10/13/2014 14:34,SEA00021,970.064,7th Ave & Union St,Occidental Park / Occidental Ave S & S Washington St,CBD-03,PS-04,Member,Female,1951
10/13/2014 14:34,SEA00029,813.073,1st Ave & Marion St,1st Ave & Marion St,CBD-05,CBD-05,Member,Female,1967
10/13/2014 14:31,SEA00310,632.044,6th Ave & Blanchard St,1st Ave & Marion St,BT-04,CBD-05,Member,Female,1972
10/13/2014 14:26,SEA00447,301.79,UW Engineering Library / E Stevens Way NE & Jefferson Rd,15th Ave NE & NE 40th St,UW-06,UW-04,Member,Male,1981
10/13/2014 14:29,SEA00475,328.193,Harvard Ave & E Pine St,REI / Yale Ave N & John St,CH-09,SLU-01,Member,Other,1992
10/13/2014 14:48,SEA00158,1484.838,6th Ave S & S King St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,ID-04,WF-04,Short-Term Pass Holder,,
10/13/2014 14:48,SEA00430,1480.695,6th Ave S & S King St,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,ID-04,WF-04,Short-Term Pass Holder,,
10/13/2014 14:51,SEA00348,1620.594,Occidental Park / Occidental Ave S & S Washington St,Occidental Park / Occidental Ave S & S Washington St,PS-04,PS-04,Short-Term Pass Holder,,
